jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2019-04-01---2019-04-22_duration_21_days_cluster_085_A0_000034_A_000040_lat_04370_lon_00477_size_0028,2019-04-01,2019-04-22,46,6,6
WD_MERGE_2019-04-22---2019-04-29_duration_7_days_cluster_111_A0_000004_A_000004_lat_04865_lon_-0374_size_0022,2019-04-22,2019-04-29,26,2,2
WD_MERGE_2019-04-29---2019-06-17_duration_35_days_cluster_116_A0_000452_A_000518_lat_04056_lon_00008_size_0153,2019-04-29,2019-06-17,78,9,9
WD_MERGE_2019-05-13---2019-05-20_duration_7_days_cluster_123_A0_000002_A_000003_lat_04682_lon_-0197_size_0004,2019-05-13,2019-05-20,8,1,1
WD_MERGE_2019-06-03---2019-06-10_duration_7_days_cluster_138_A0_000003_A_000004_lat_04967_lon_-0434_size_0154,2019-06-03,2019-06-10,37,2,2
WD_MERGE_2019-06-17---2019-06-24_duration_7_days_cluster_151_A0_000001_A_000002_lat_04796_lon_-0387_size_0049,2019-06-17,2019-06-24,16,2,2
WD_MERGE_2019-06-17---2019-07-01_duration_14_days_cluster_153_A0_000017_A_000020_lat_04356_lon_00459_size_0016,2019-06-17,2019-07-01,13,3,3
WD_MERGE_2019-07-01---2019-07-08_duration_7_days_cluster_164_A0_000009_A_000010_lat_04874_lon_-0374_size_0015,2019-07-01,2019-07-08,15,2,2
WD_MERGE_2019-07-08---2019-07-15_duration_7_days_cluster_172_A0_000004_A_000004_lat_04949_lon_-0128_size_0018,2019-07-08,2019-07-15,10,2,2
WD_MERGE_2019-07-29---2019-08-05_duration_7_days_cluster_195_A0_000004_A_000005_lat_04946_lon_-0135_size_0019,2019-07-29,2019-08-05,11,2,2
WD_MERGE_2019-08-05---2019-08-12_duration_7_days_cluster_204_A0_000002_A_000003_lat_04351_lon_00462_size_0016,2019-08-05,2019-08-12,5,3,3
WD_MERGE_2019-08-12---2019-08-19_duration_7_days_cluster_210_A0_000002_A_000003_lat_04945_lon_00219_size_0047,2019-08-12,2019-08-19,38,8,8
WD_MERGE_2019-09-02---2019-09-09_duration_7_days_cluster_222_A0_000004_A_000005_lat_04779_lon_-0350_size_0074,2019-09-02,2019-09-09,48,4,4
WD_MERGE_2019-09-16---2019-09-23_duration_7_days_cluster_235_A0_000014_A_000017_lat_05028_lon_01037_size_0108,2019-09-16,2019-09-23,7,4,4
WD_MERGE_2019-09-23---2019-10-21_duration_28_days_cluster_346_A0_000296_A_000373_lat_05307_lon_-0336_size_0186,2019-09-23,2019-10-21,39,4,4
WD_MERGE_2019-10-14---2019-10-21_duration_7_days_cluster_262_A0_000004_A_000005_lat_04761_lon_-0298_size_0028,2019-10-14,2019-10-21,28,2,2
WD_MERGE_2019-12-30---2020-01-20_duration_21_days_cluster_002_A0_000005_A_000006_lat_04430_lon_00659_size_0189,2019-12-30,2020-01-20,15,5,5
WD_MERGE_2020-01-27---2020-02-03_duration_7_days_cluster_027_A0_000003_A_000003_lat_04354_lon_00457_size_0017,2020-01-27,2020-02-03,11,4,4
WD_MERGE_2020-01-27---2020-03-02_duration_35_days_cluster_025_A0_000088_A_000101_lat_04035_lon_00016_size_0085,2020-01-27,2020-03-02,4,2,2
WD_MERGE_2020-02-10---2020-03-30_duration_42_days_cluster_377_A0_000631_A_000741_lat_05520_lon_01131_size_0260,2020-02-10,2020-03-30,41,5,5
WD_MERGE_2020-03-23---2020-03-30_duration_7_days_cluster_066_A0_000006_A_000006_lat_04527_lon_00766_size_0088,2020-03-23,2020-03-30,21,3,3
WD_MERGE_2020-04-06---2020-04-13_duration_7_days_cluster_077_A0_000001_A_000001_lat_04837_lon_-0479_size_0009,2020-04-06,2020-04-13,10,1,1
WD_MERGE_2020-04-13---2020-05-25_duration_35_days_cluster_086_A0_000076_A_000087_lat_04386_lon_00446_size_0033,2020-04-13,2020-05-25,136,11,11
WD_MERGE_2020-05-04---2020-05-11_duration_7_days_cluster_108_A0_000022_A_000030_lat_05090_lon_-0403_size_0096,2020-05-04,2020-05-11,25,2,2
WD_MERGE_2020-06-22---2020-06-29_duration_7_days_cluster_159_A0_000004_A_000004_lat_04875_lon_-0368_size_0010,2020-06-22,2020-06-29,11,2,2
WD_MERGE_2020-06-22---2020-06-29_duration_7_days_cluster_161_A0_000016_A_000018_lat_04360_lon_00455_size_0012,2020-06-22,2020-06-29,18,4,4
WD_MERGE_2020-07-13---2020-07-27_duration_14_days_cluster_180_A0_000004_A_000005_lat_04407_lon_00469_size_0070,2020-07-13,2020-07-27,31,6,6
WD_MERGE_2020-07-20---2020-07-27_duration_7_days_cluster_190_A0_000005_A_000006_lat_04871_lon_-0381_size_0019,2020-07-20,2020-07-27,13,2,2
WD_MERGE_2020-08-10---2020-08-17_duration_7_days_cluster_216_A0_000001_A_000001_lat_04348_lon_00458_size_0015,2020-08-10,2020-08-17,3,2,2
WD_MERGE_2020-08-17---2020-08-24_duration_7_days_cluster_222_A0_000009_A_000011_lat_04824_lon_-0344_size_0064,2020-08-17,2020-08-24,59,4,4
WD_MERGE_2020-08-31---2020-09-07_duration_7_days_cluster_237_A0_000001_A_000001_lat_04425_lon_-0018_size_0027,2020-08-31,2020-09-07,11,3,3
WD_MERGE_2020-08-31---2020-09-07_duration_7_days_cluster_238_A0_000001_A_000002_lat_05095_lon_00606_size_0031,2020-08-31,2020-09-07,4,1,1
WD_MERGE_2020-09-14---2020-09-21_duration_7_days_cluster_251_A0_000013_A_000017_lat_05039_lon_-0358_size_0159,2020-09-14,2020-09-21,32,4,4
WD_MERGE_2020-09-28---2020-10-05_duration_7_days_cluster_271_A0_000002_A_000003_lat_04766_lon_-0292_size_0018,2020-09-28,2020-10-05,20,1,1
WD_MERGE_2020-11-30---2020-12-21_duration_14_days_cluster_331_A0_000111_A_000131_lat_04419_lon_01599_size_0103,2020-11-30,2020-12-21,12,4,4
WD_MERGE_2020-12-28---2021-02-15_duration_42_days_cluster_346_A0_000317_A_000399_lat_05319_lon_00874_size_0420,2020-12-28,2021-02-15,321,9,9
WD_MERGE_2021-03-08---2021-03-15_duration_7_days_cluster_054_A0_000011_A_000015_lat_04732_lon_-0191_size_0017,2021-03-08,2021-03-15,33,2,2
WD_MERGE_2021-03-08---2021-03-29_duration_21_days_cluster_362_A0_000121_A_000152_lat_05289_lon_00140_size_0443,2021-03-08,2021-03-29,60,8,8
WD_MERGE_2021-03-15---2021-04-05_duration_21_days_cluster_059_A0_000151_A_000196_lat_05239_lon_-0164_size_0179,2021-03-15,2021-04-05,64,7,7
WD_MERGE_2021-04-12---2021-04-19_duration_7_days_cluster_074_A0_000004_A_000004_lat_04879_lon_-0358_size_0003,2021-04-12,2021-04-19,14,2,2
WD_MERGE_2021-04-19---2021-04-26_duration_7_days_cluster_079_A0_000020_A_000022_lat_04369_lon_00456_size_0017,2021-04-19,2021-04-26,40,4,4
WD_MERGE_2021-05-03---2021-05-17_duration_14_days_cluster_092_A0_000003_A_000004_lat_04387_lon_00028_size_0085,2021-05-03,2021-05-17,29,7,7
WD_MERGE_2021-05-10---2021-05-17_duration_7_days_cluster_101_A0_000005_A_000007_lat_04931_lon_-0376_size_0059,2021-05-10,2021-05-17,13,2,2
WD_MERGE_2021-05-17---2021-05-31_duration_14_days_cluster_106_A0_000067_A_000076_lat_04357_lon_00458_size_0015,2021-05-17,2021-05-31,27,5,5
WD_MERGE_2021-05-24---2021-06-07_duration_14_days_cluster_110_A0_000025_A_000029_lat_04486_lon_-0225_size_0323,2021-05-24,2021-06-07,31,3,3
WD_MERGE_2021-06-14---2021-06-21_duration_7_days_cluster_125_A0_000018_A_000021_lat_04360_lon_00455_size_0011,2021-06-14,2021-06-21,14,3,3
WD_MERGE_2021-06-28---2021-07-12_duration_14_days_cluster_143_A0_000006_A_000007_lat_04871_lon_-0382_size_0022,2021-06-28,2021-07-12,19,2,2
WD_MERGE_2021-07-26---2021-08-02_duration_7_days_cluster_179_A0_000002_A_000002_lat_04476_lon_-0075_size_0013,2021-07-26,2021-08-02,7,2,2
WD_MERGE_2021-08-09---2021-08-16_duration_7_days_cluster_189_A0_000001_A_000001_lat_04755_lon_-0289_size_0038,2021-08-09,2021-08-16,16,3,3
WD_MERGE_2021-08-23---2021-08-30_duration_7_days_cluster_205_A0_000003_A_000004_lat_04803_lon_-0220_size_0091,2021-08-23,2021-08-30,32,8,8
